Date,Teams,Type,League,Odds,Staked,Won?,Returns,Profit,Final Bankroll,,Stake,£1.97,,,,,,,,,,
13/12/2019,Helmond Sport vs Go Ahead Eagles,Over 1.5 SH Goals,Eerste Divisie,1.720,£2.44,y,£4.20,£1.76,,,,,,,,,,,,,,
13/12/2019,Gorica vs Inter Zaprešić,Over 0.5/1.0 FH Goal Line,Croatia Premier,1.440,£2.44,hw,£2.98,£0.54,,,,,,,,,,,,,,
13/12/2019,Arka Gdynia vs Zagłębie Lubin,Under 2.5 Goals,Ekstraklasa,1.875,£2.44,n,£0.00,-£2.44,,,,,,,,,,,,,,
13/12/2019,Arka Gdynia vs Zagłębie Lubin,Under 1.0 FH Goal Line,Ekstraklasa,1.900,£2.44,n,£0.00,-£2.44,£102.39,,,,,,,,,,,,,
14/12/2019,Burnley vs Newcastle United,Over 1.0 FH Goal Line,Premier League,2.100,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Sheffield United vs Aston Villa,Over 0.5/1.0 FH Goal Line,Premier League,1.500,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Southampton vs West Ham United,Over 1.0 FH Goal Line,Premier League,1.600,£2.56,p,£2.56,£0.00,,,,,,,,,,,,,,
14/12/2019,Southampton vs West Ham United,Goal In Each Half,Premier League,1.530,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Newport County vs Stevenage,Under 1.5 SH Goals,League Two,1.530,£2.56,y,£3.92,£1.36,,,,,,,,,,,,,,
14/12/2019,Ross County vs Kilmarnock,Over 2.5 Goals,Scotland Premier,1.950,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Arbroath vs Dundee United,Over 0.5/1.0 FH Goal Line,Scotland Championship,1.550,£2.56,hw,£3.26,£0.70,,,,,,,,,,,,,,
14/12/2019,Ayr United vs Alloa Athletic,Over 1.0 FH Goal Line,Scotland Championship,1.700,£2.56,y,£4.35,£1.79,,,,,,,,,,,,,,
14/12/2019,Airdrieonians vs Peterhead,Over 0.5/1.0 FH Goal Line,Scotland League One,1.525,£2.56,y,£3.90,£1.34,,,,,,,,,,,,,,
14/12/2019,Elgin City vs Albion Rovers,Over 0.5/1.0 FH Goal Line,Scotland League Two,1.450,£2.56,hw,£3.14,£0.58,,,,,,,,,,,,,,
14/12/2019,Frosinone vs Pescara,Over 0.5/1.0 FH Goal Line,Serie B,1.550,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Venezia vs Spezia,Over 0.5/1.0 FH Goal Line,Serie B,1.675,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Virtus Entella vs Empoli,Over 0.5/1.0 FH Goal Line,Serie B,1.575,£2.56,y,£4.03,£1.47,,,,,,,,,,,,,,
14/12/2019,Granada vs Levante,Under 1.0 FH Goal Line,La Liga,1.950,£2.56,y,£4.99,£2.43,,,,,,,,,,,,,,
14/12/2019,Tenerife vs Alcorcón,Under 1.5 SH Goals,Spain Segunda,1.440,£2.56,y,£3.69,£1.13,,,,,,,,,,,,,,
14/12/2019,Tenerife vs Alcorcón,Under 11 Match Corners,Spain Segunda,1.360,£2.56,y,£3.48,£0.92,,,,,,,,,,,,,,
14/12/2019,Tenerife vs Alcorcón,Under 10 Match Corners,Spain Segunda,1.660,£2.56,y,£4.25,£1.69,,,,,,,,,,,,,,
14/12/2019,Bayern Munich vs Werder Bremen,Over 2.5 Goals,Bundesliga,1.220,£2.56,y,£3.12,£0.56,,,,,,,,,,,,,,
14/12/2019,Bayern Munich vs Werder Bremen,Over 0.5/1.0 FH Goal Line,Bundesliga,1.175,£2.56,y,£3.01,£0.45,,,,,,,,,,,,,,
14/12/2019,Fortuna Dusseldorf vs RB Leipzig,Over 0.5/1.0 FH Goal Line,Bundesliga,1.325,£2.56,hw,£2.98,£0.42,,,,,,,,,,,,,,
14/12/2019,Mainz 05 vs Borussia Dortmund,Over 2.5 Goals,Bundesliga,1.475,£2.56,y,£3.78,£1.22,,,,,,,,,,,,,,
14/12/2019,Mainz 05 vs Borussia Dortmund,Over 1.0 FH Goal Line,Bundesliga,1.475,£2.56,p,£2.56,£0.00,,,,,,,,,,,,,,
14/12/2019,Köln vs Bayer Leverkusen,Over 0.5/1.0 FH Goal Line,Bundesliga,1.400,£2.56,n,£0.00,-£2.56,,,,,,,,,,,,,,
14/12/2019,Paderborn vs Union Berlin,Over 1.0 FH Goal Line,Bundesliga,1.650,£2.56,y,£4.22,£1.66,,,,,,,,,,,,,,
14/12/2019,Bayern München II vs Kaiserslautern,Over 1.0 FH Goal Line,3. Liga,1.475,£2.56,y,£3.78,£1.22,,,,,,,,,,,,,,
