Criciúma,Vila Nova,7,2,y,Serie B,2987940
Brasil de Pelotas,Operário PR,7,1,y,Serie B,2987941
Sport Recife,Vitória,7,4,n,Serie B,2987942
CRB,América Mineiro,7,4,n,Serie B,2987943
Guarani,Coritiba,8,1,y,Serie B,2987944
RB Bragantino,América Mineiro,8,2,y,Serie B,2987945
Oeste,Vitória,8,3,p,Serie B,2987946
Vila Nova,São Bento,8,1,y,Serie B,2987947
Paraná,Operário PR,8,1,y,Serie B,2987948
Londrina,Ponte Preta,8,4,n,Serie B,2987949
Figueirense,Botafogo SP,8,3,p,Serie B,2987950
Brasil de Pelotas,Criciúma,8,1,y,Serie B,2987951
Sport Recife,CRB,8,1,y,Serie B,2987952
Cuiabá,Atlético GO,8,1,y,Serie B,2987953
Ponte Preta,Oeste,9,5,n,Serie B,2987954
Botafogo SP,Brasil de Pelotas,9,5,n,Serie B,2987955
São Bento,Sport Recife,9,4,n,Serie B,2987956
Atlético GO,Vila Nova,9,2,y,Serie B,2987957
Paraná,RB Bragantino,9,3,p,Serie B,2987958
Operário PR,Londrina,9,2,y,Serie B,2987959
Criciúma,Coritiba,9,3,p,Serie B,2987960
América Mineiro,Figueirense,9,4,n,Serie B,2987961
Vitória,Cuiabá,9,1,y,Serie B,2987962
CRB,Guarani,9,3,p,Serie B,2987963
Ponte Preta,Atlético GO,10,0,y,Serie B,2987964
Botafogo SP,Guarani,10,0,y,Serie B,2987965
Oeste,RB Bragantino,10,0,y,Serie B,2987966
Vila Nova,América Mineiro,10,2,y,Serie B,2987967
Coritiba,São Bento,10,3,p,Serie B,2987968
Operário PR,CRB,10,3,p,Serie B,2987969
Figueirense,Londrina,10,2,y,Serie B,2987970
Brasil de Pelotas,Paraná,10,1,y,Serie B,2987971
Vitória,Criciúma,10,2,y,Serie B,2987972
Cuiabá,Sport Recife,10,2,y,Serie B,2987973
Guarani,Cuiabá,11,1,y,Serie B,2987974
RB Bragantino,Ponte Preta,11,3,p,Serie B,2987975
São Bento,Operário PR,11,2,y,Serie B,2987976
Atlético GO,Botafogo SP,11,3,p,Serie B,2987977
Coritiba,Vila Nova,11,2,y,Serie B,2987978
Londrina,Vitória,11,4,n,Serie B,2987979
Figueirense,Paraná,11,1,y,Serie B,2987980
América Mineiro,Oeste,11,0,y,Serie B,2987981
Sport Recife,Brasil de Pelotas,11,0,y,Serie B,2987982
CRB,Criciúma,11,2,y,Serie B,2987983
Guarani,São Bento,12,3,p,Serie B,2987984
Botafogo SP,CRB,12,2,y,Serie B,2987985
Oeste,Londrina,12,1,y,Serie B,2987986
Vila Nova,RB Bragantino,12,1,y,Serie B,2987987
Paraná,Sport Recife,12,1,y,Serie B,2987988
Operário PR,Coritiba,12,2,y,Serie B,2987989
Criciúma,Figueirense,12,2,y,Serie B,2987990
América Mineiro,Atlético GO,12,1,y,Serie B,2987991
Vitória,Ponte Preta,12,3,p,Serie B,2987992
Cuiabá,Brasil de Pelotas,12,2,y,Serie B,2987993
Ponte Preta,América Mineiro,13,1,y,Serie B,2987994
RB Bragantino,Cuiabá,13,4,n,Serie B,2987995
São Bento,Criciúma,13,1,y,Serie B,2987996
Atlético GO,Operário PR,13,6,n,Serie B,2987997
Coritiba,Botafogo SP,13,5,n,Serie B,2987998
Londrina,Paraná,13,3,p,Serie B,2987999
Figueirense,Vitória,13,2,y,Serie B,2988000
Brasil de Pelotas,Vila Nova,13,2,y,Serie B,2988001
Sport Recife,Guarani,13,2,y,Serie B,2988002
CRB,Oeste,13,4,n,Serie B,2988003
Guarani,RB Bragantino,14,1,y,Serie B,2988004
Botafogo SP,Oeste,14,5,n,Serie B,2988005
São Bento,Ponte Preta,14,0,y,Serie B,2988006
Vila Nova,Figueirense,14,0,y,Serie B,2988007
Paraná,América Mineiro,14,0,y,Serie B,2988008
Londrina,Atlético GO,14,2,y,Serie B,2988009
Criciúma,Operário PR,14,3,p,Serie B,2988010
Brasil de Pelotas,Vitória,14,1,y,Serie B,2988011
Sport Recife,Coritiba,14,2,y,Serie B,2988012
CRB,Cuiabá,14,1,y,Serie B,2988013
Ponte Preta,Guarani,15,1,y,Serie B,2988014
RB Bragantino,Botafogo SP,15,0,y,Serie B,2988015
Oeste,Brasil de Pelotas,15,2,y,Serie B,2988016
Atlético GO,CRB,15,1,y,Serie B,2988017
Coritiba,Figueirense,15,2,y,Serie B,2988018
Operário PR,Vila Nova,15,1,y,Serie B,2988019
Criciúma,Sport Recife,15,1,y,Serie B,2988020
América Mineiro,Londrina,15,7,n,Serie B,2988021
Vitória,Paraná,15,2,y,Serie B,2988022
Cuiabá,São Bento,15,5,n,Serie B,2988023
Guarani,Vila Nova,16,2,y,Serie B,2988024
RB Bragantino,Operário PR,16,4,n,Serie B,2988025
São Bento,Paraná,16,3,p,Serie B,2988026
Atlético GO,Oeste,16,2,y,Serie B,2988027
Coritiba,Brasil de Pelotas,16,2,y,Serie B,2988028
Londrina,Criciúma,16,2,y,Serie B,2988029
Figueirense,Ponte Preta,16,1,y,Serie B,2988030
América Mineiro,Cuiabá,16,3,p,Serie B,2988031
Sport Recife,Botafogo SP,16,3,p,Serie B,2988032
CRB,Vitória,16,1,y,Serie B,2988033
Ponte Preta,CRB,17,1,y,Serie B,2988034
Botafogo SP,Londrina,17,3,p,Serie B,2988035
Oeste,Coritiba,17,2,y,Serie B,2988036
Vila Nova,Sport Recife,17,2,y,Serie B,2988037
Paraná,Atlético GO,17,0,y,Serie B,2988038
Operário PR,Guarani,17,1,y,Serie B,2988039
Criciúma,RB Bragantino,17,2,y,Serie B,2988040
Brasil de Pelotas,São Bento,17,3,p,Serie B,2988041
Vitória,América Mineiro,17,0,y,Serie B,2988042
Cuiabá,Figueirense,17,3,p,Serie B,2988043
Ponte Preta,Sport Recife,18,4,n,Serie B,2988044
RB Bragantino,Coritiba,18,2,y,Serie B,2988045
Oeste,Vila Nova,18,2,y,Serie B,2988046
Atlético GO,Brasil de Pelotas,18,0,y,Serie B,2988047
Paraná,Criciúma,18,0,y,Serie B,2988048
Londrina,São Bento,18,6,n,Serie B,2988049
Figueirense,CRB,18,4,n,Serie B,2988050
América Mineiro,Guarani,18,5,n,Serie B,2988051
Vitória,Operário PR,18,0,y,Serie B,2988052
Cuiabá,Botafogo SP,18,2,y,Serie B,2988053
Guarani,Londrina,19,1,y,Serie B,2988054
Botafogo SP,Paraná,19,1,y,Serie B,2988055
São Bento,América Mineiro,19,2,y,Serie B,2988056
Vila Nova,Cuiabá,19,0,y,Serie B,2988057
Coritiba,Vitória,19,2,y,Serie B,2988058
Operário PR,Figueirense,19,1,y,Serie B,2988059
Criciúma,Oeste,19,4,n,Serie B,2988060
Brasil de Pelotas,Ponte Preta,19,1,y,Serie B,2988061
Sport Recife,Atlético GO,19,2,y,Serie B,2988062
CRB,RB Bragantino,19,3,p,Serie B,2988063
Ponte Preta,Coritiba,20,1,y,Serie B,2988064
RB Bragantino,Brasil de Pelotas,20,3,p,Serie B,2988065
Oeste,Sport Recife,20,0,y,Serie B,2988066
Atlético GO,São Bento,20,1,y,Serie B,2988067
Paraná,Vila Nova,20,2,y,Serie B,2988068
Londrina,CRB,20,1,y,Serie B,2988069
Figueirense,Guarani,20,1,y,Serie B,2988070
América Mineiro,Operário PR,20,0,y,Serie B,2988071
Vitória,Botafogo SP,20,0,y,Serie B,2988072
Cuiabá,Criciúma,20,0,y,Serie B,2988073
Guarani,Oeste,21,5,n,Serie B,2988074
Botafogo SP,América Mineiro,21,0,y,Serie B,2988075
São Bento,Figueirense,21,0,y,Serie B,2988076
Vila Nova,Vitória,21,2,y,Serie B,2988077
Coritiba,Atlético GO,21,3,p,Serie B,2988078
Operário PR,Cuiabá,21,3,p,Serie B,2988079
Criciúma,Ponte Preta,21,0,y,Serie B,2988080
Brasil de Pelotas,Londrina,21,1,y,Serie B,2988081
Sport Recife,RB Bragantino,21,3,p,Serie B,2988082
CRB,Paraná,21,3,p,Serie B,2988083
